"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"2233","Boyeros",14603,"CUB",149.674428917206,31.847767746751,233690.609375,90646.59375,7592.82177734375,3049.396484375,9.3960012529186
"2234","Webb",31439,"USA",8763.09176487197,22.5710235892058,224284.1875,60502.9296875,7256.69482421875,2394.107421875,94.1015020626837
"2257","Puducherry",70228,"IND",195.281407480062,66.3650296128173,376516.34375,166042.109375,14064.4482421875,7064.048828125,8.59118968714396
"2309","Olinda",9600,"BRA",42.7361277295903,32.4159534098909,267733.71875,217425.296875,9464.0009765625,7706.41015625,7.09815945587462
"2359","Buyikwe",28510,"UGA",1455.99645013686,28.5022307535795,276432.96875,42797.84375,6749.615234375,1729.384765625,1.49467673077413
"2393","Panama",23749,"PAN",2450.74342793601,83.481529696939,1127987.375,291701.375,41529.19140625,12124.0576171875,13.5874839421355
"2434","Anaocha",22645,"NGA",115.070921913266,22.790285303238,349141.0625,107738.9296875,12487.70703125,4655.07861328125,3.06842400504739
"2435","Angoche",21889,"MOZ",3018.63438390287,13.5359206048513,245796.015625,40532.55078125,6569.0732421875,1790.04907226562,1.30116292963443
"2465","Samastipur",17626,"IND",2905.83135825402,64.873160277332,4128065.75,137290.546875,126847.0234375,5568.84228515625,8.37079110120166
"2513","Tuol Kouk",12391,"KHM",7.94563004541457,7.94563004541457,96088.859375,96088.859375,4296.94091796875,4296.94091796875,2.74910805255325
"2707","Ayala",1010097,"MEX",377.74530991661,11.9418655358767,119743.75,11571.658203125,3572.73291015625,501.399719238281,49.7144334585824
"2709","Cuautla",1010099,"MEX",96.9710175023824,31.891525671758,86409.6640625,33379.8359375,3059.146484375,1446.34765625,49.7144334585824
"2710","Cuernavaca",1010100,"MEX",200.370618221664,0.542793351451472,158130.453125,1024.51086425781,4199.42919921875,32.5648155212402,36.3602434781963
"2711","Emiliano Zapata",1010101,"MEX",68.3565160035564,16.5439090411481,97698.140625,31153.845703125,2940.45361328125,983.612915039062,36.3602434781963
"2717","Xochitepec",1010107,"MEX",92.9130090007703,15.4314402660988,47071.94140625,16483.01953125,1802.60852050781,647.712463378906,45.1322278195712
"2719","Yecapixtla",1010109,"MEX",176.371782479122,4.38252844861651,98707.4296875,4950.015625,2446.99658203125,214.484085083008,49.7144334585824
"2763","Apodaca",1010138,"MEX",237.988904795162,203.295162368414,727348.125,689784.4375,27684.3515625,26404.541015625,37.722211717307
"2767","KOTA MALANG",1013478,"IDN",73.6930908251156,35.9589463024696,662266.9375,456239.21875,25619.361328125,18672.412109375,17.2358421449928
"2771","Araria",70094,"IND",2824.74880279573,23.3591678083388,2412563.5,48436.8046875,78994.7734375,1900.74890136719,2.3251218119342
"2793","Carmen",1010142,"MEX",102.363048195681,3.96236841569501,72705.3125,10291.2080078125,1822.79504394531,322.725738525391,36.1178623838723
"2809","San Pedro Garza Garcaa",1010151,"MEX",71.9953201396386,25.4030181717178,149587.375,54119.515625,3786.158203125,1770.5556640625,33.2900519206194
"2811","Gral.  Escobedo",1010153,"MEX",151.241248835414,68.7467345303281,369779.6875,231537.28125,11811.7060546875,8926.029296875,36.1178623838723
"2826","Santa Catarina",1010157,"MEX",884.838808321094,0.00938657183161991,307389.5625,13.7720928192139,4836.091796875,0.47358900308609,39.5574034120345
"2843","Phra Pradaeng",26987,"THA",58.2630273126786,58.2630273126786,346610.65625,346610.65625,13602.8466796875,13602.8466796875,23.4696138066537
"2878","Ibadannorth-west",23018,"NGA",35.4072721728696,18.9135291972614,232226.84375,151849.9375,8593.1318359375,5846.38916015625,2.49696013296233
"2881","Sao Bernardo Do Campo",11525,"BRA",406.060390991866,50.6357201182123,1158354.625,485237.875,34860.79296875,15020.0390625,6.43591294286623
"2978","Saran",17628,"IND",2645.24505828954,89.436731640939,3403858.75,207209.5625,105791.3671875,8437.6416015625,7.83275790776112
"3063","Meerut",17926,"IND",2605.13094389138,276.212761253786,3387448.75,604730.125,112602.3984375,25815.68359375,8.58470765536939
"3089","Nongkham",26418,"THA",46.5975880566698,46.5975880566698,146589.765625,146589.765625,5836.60498046875,5836.60498046875,25.6421831990236
"3110","Dom Aleixo",27348,"TLS",27.8762787550079,9.62869739829123,12211.8115234375,5859.8232421875,185.427749633789,153.670272827148,7.70600226716106
"3128","Guayaquil",15423,"ECU",4381.44124101606,318.551796370917,2285214,1153776.375,77996.28125,45846.7265625,8.34931895696151
"3161","Nellore",17561,"IND",13090.5957340277,24.6495606844152,3091709,38307.40625,89692.421875,1721.75354003906,9.82715384842556
"3167","Bungokho",28479,"UGA",494.44243472094,28.7685087853074,425532.53125,58095.296875,9302.4267578125,2575.67553710938,1.54679570195481
"3196","Granada",22459,"NIC",524.246456074138,0.0333638201995898,110196.390625,29.6106433868408,3595.60034179688,1.34711992740631,3.66456619506776
"3229","Durg",17724,"IND",8612.96856784883,283.661875700709,3291070,759114.125,102489.484375,29879.45703125,7.55833895778379
"3344","Distrito Central",17301,"HND",1477.67263223685,123.362868560612,1093149.5,641795.5625,39830.4765625,25644.025390625,3.75571241193444
"3356","Pangkalan Batu",61112,"BRN",73.359091441205,7.29065112673403,24408.048828125,3494.09448242188,977.252136230469,157.730972290039,79.2469778293977
"3390","San Jose Pinula",64844,"GTM",67.2808648896613,4.74181993956706,188359.359375,24694.919921875,7085.82861328125,970.405151367188,2.90308797989508
"3420","Cidade de Nampula",65259,"MOZ",330.083414928853,49.151769788309,558664.875,253000,18057.060546875,8904.802734375,1.01115450437482
"3427","Distrito Nacional",36891,"DOM",90.166601825693,52.209096931735,279409.21875,176567.96875,11014.642578125,7520.369140625,8.75245917842684
"3434","Shahjahanpur",17937,"IND",4651.91259398424,22.5250432915482,2982228.75,35233.68359375,88147.578125,1530.97131347656,9.50952003306124
"3470","Khamza district",39869,"UZB",35.9968286519522,0.0835610031073684,214614.234375,848.160034179688,772.568237304688,7.61905956268311,1.16674355783341
"3562","Mateare",22490,"NIC",577.688323668908,0.732378279472279,50978.91015625,794.203979492188,1800.72485351562,28.9490776062012,2.98925111001287
"3663","San Juan Municipio",40093,"PRI",127.171376601347,108.029920659792,337334.6875,316598.125,12130.00390625,11350.7041015625,163.013616383045
"3693","Bang Khen",26397,"THA",83.641134019048,81.683922465451,371229.09375,369644.65625,13142.4658203125,13080.509765625,23.7264346045861
"3767","Malir",40398,"PAK",2368.7888095835,59.6437366583836,3192570,1238145.875,90625.546875,37451.5234375,3.31361761034457
"3786","Administrative unit not available",27417,"TTO",30.7414820884757,8.88126462504826,16892.70703125,7135.39990234375,748.594848632812,324.621063232422,26.4419027809046
"3795","Fatu Maka",27329,"TLS",147.094795093024,1.82341949715546,9052.2333984375,469.324310302734,59.2570304870605,15.8289318084717,10.0076607345406
"3844","Kanniyakumari",17870,"IND",1590.95071675786,125.860700603405,1754897.25,264965.03125,47770.03125,10465.0458984375,8.30164573231466
