"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"16052","Puerto Tejada",13746,"COL",100.177743312162,6.89199849741421,75740.53125,24936.056640625,2449.34228515625,819.228637695312,10.5494627243923
"16074","Yaguachi",15439,"ECU",517.941284839188,1.54536192147009,76162.9453125,1554.58764648438,2461.37158203125,70.1721954345703,10.7364589824782
"16095","Ban Lat",26867,"THA",291.735554871771,38.9889178009214,54009.82421875,14303.2080078125,1649.72192382812,529.940185546875,24.2053730254926
"16119","Chuarrancho",64853,"GTM",124.891236209679,20.9877949913711,102318.2578125,44835.0625,3183.88452148438,1842.18395996094,2.8695425905184
"16137","Abeokutanorth",22955,"NGA",833.028697406811,124.474643318502,657259.375,426880.03125,22629.833984375,17103.525390625,2.49696013296233
"16159","Kushtia",5800,"BGD",1725.02428378148,159.342925944078,2243361.25,266134.8125,65644.09375,10135.216796875,2.06821177397378
"16179","Peam Ro",12407,"KHM",193.733262433177,40.0055912412438,57721.5546875,21119.9375,1436.9833984375,569.558227539062,2.02537654788896
"16180","Juazeiro Do Norte",7045,"BRA",234.46207273808,38.3364929724396,197371.5,62443.25390625,7544.81103515625,2616.14379882812,7.84908308886105
"16183","Raman",27184,"THA",507.917264969806,2.24367860215965,83876.671875,929.7138671875,2593.373046875,31.2856731414795,23.7264346045861
"16192","Ghaziabad",17911,"IND",1975.50652948367,1221.88437927838,4288929.5,3488400.5,157363.609375,133688.046875,6.20137158915081
"16202","Solapur",17782,"IND",14867.145176259,412.180464007841,4411857.5,796061.9375,100674,30636.830078125,6.58815037733517
"16208","Avrankou",5919,"BEN",76.984329025373,22.6978727717346,91080.59375,51651.02734375,2880.68530273438,1793.91906738281,0.978545742936543
"16215","Dinajpur",5806,"BGD",3443.23908773117,241.459688953489,3423318.5,395566.96875,108526.4609375,14912.7001953125,2.0949101064447
"16252","Tashlak district",39744,"UZB",231.111004519484,8.05532628416768,149856.25,39542.34375,773.503234863281,525.583190917969,1.60650796907677
"16262","Gueckedou",40741,"GIN",4215.29529162432,79.5105762169142,450039.8125,73940.1875,11943.61328125,2904.81225585938,0.687495962991606
"16274","Administrative unit not available",19540,"MUS",180.571222578178,12.4071161851285,135052.375,36430.26953125,5265.3583984375,1382.04235839844,11.8776051177833
"16287","Telemele",40731,"GIN",7528.09651785272,24.9834072358305,286910.84375,12354.4892578125,5717.56396484375,424.464385986328,0.785608917058259
"16300","Villa Elisa",23864,"PRY",20.4674189243126,20.4674189243126,77274.5625,77274.5625,2963.79541015625,2963.79541015625,7.68074582238607
"16301","Kayes",19378,"MLI",22819.0575421881,49.2775236792216,366441.71875,53388.19140625,5511.56103515625,1991.46472167969,0.797281634981766
"16348","San Luis",14788,"CUB",625.286676142414,1.31397449371395,95850.8671875,1189.55383300781,2864.84155273438,47.6033668518066,10.9389056026115
"16367","Koutiala",19412,"MLI",9366.82771885617,99.4207818941263,630700.8125,197028.703125,14863.3828125,6785.14599609375,0.620517817127981
"16376","Ibri",23593,"OMN",19305.2344441559,70.5324072281916,125138.7421875,23617.71484375,2681.09765625,756.410461425781,22.5133603375401
"16414","Faisalabad",23658,"PAK",5947.57464516072,632.862674148641,7614813,2604371,173656.609375,91056.5234375,3.54874707650342
"16435","La Matanza",4443,"ARG",324.360036994408,47.4257010691846,1365911.5,348215.28125,34771.34765625,10831.6005859375,16.2680601901805
"16439","Hamirpur",17915,"IND",4262.82286664248,22.9669470657373,1298860.875,21623.6328125,37999.62109375,822.469482421875,8.35782624551861
"16441","Kisarawe",48468,"TZA",4856.25407471948,0.891182527323723,240136.703125,1100.11340332031,4727.77685546875,45.0519752502441,1.0569872511243
"16449","Tsiroanomandidy",19203,"MDG",9874.17538646625,96.3922731033825,278716.03125,36706.89453125,5456.82568359375,1025.0537109375,0.57282298677917
"16452","Bugahya",28408,"UGA",2509.3767912262,25.4223192695578,274176,21878.529296875,3661.61645507812,824.827941894531,1.65842085994451
"16470","Arumeru",48383,"TZA",2847.32864661998,62.0123497260409,758746.875,79262.7109375,9763.8671875,2237.75390625,0.709672856891057
"16472","Dbarwa",15850,"ERI",955.555234158163,94.1239953374882,256394.5625,29951.02734375,1556.2900390625,474.16015625,0.565606216137621
"16475","Viana",4300,"AGO",1702.20076506797,177.732244255597,1592429,945778.1875,49942.49609375,35521.63671875,5.2737001790319
"16480","Houet",12121,"BFA",11577.4697818855,392.639446584934,1086627.875,546919.9375,30485.392578125,20555.150390625,0.775600414189726
"16481","Bahraich",17893,"IND",3704.41316014932,106.092948714043,2013432,93794.46875,62047.18359375,3837.55444335938,2.21428433137768
